name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW240109_050431,GW240109_050431-v1,1388811890,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240109_050431-v1,28.8,-6.2,7.5,18.1,-4.1,4.8,10.4,,,1510,-770,1010,-0.07,-0.23,0.2,47.1,-5.7,6.7,19.6,-2.2,2.7,,,,0.29,-0.13,0.16,0.00023,,,0.99,,,45.1,-5.5,6.5
GW240107_013215,GW240107_013215-v1,1388626354,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240107_013215-v1,59,-18,27,32,-16,20,9.6,,,5800,-3200,4800,0.3,-0.36,0.3,91,-20,29,36.2,-9.5,14,,,,0.87,-0.43,0.56,0.028,,,0.99,,,87,-19,28
GW240105_151143,GW240105_151143-v1,1388502721,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240105_151143-v1,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,3.3,,,0.7,,,,,
GW240104_164932,GW240104_164932-v1,1388422191,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW240104_164932-v1,42.3,-6.7,9.4,32.1,-8,7.5,14.8,,,1910,-950,1090,0.09,-0.19,0.19,74.3,-8.5,11.4,31.8,-3.9,5.1,,,,0.35,-0.16,0.16,1.00E-05,,,0.99,,,70.6,-7.9,10.7
GW231231_154016,GW231231_154016-v1,1388072435,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231231_154016-v1,22.5,-3.3,5.7,17.2,-3.2,2.9,13.4,,,1070,-530,600,-0.03,-0.12,0.12,39.9,-3.4,4.1,17.1,-1.4,1.6,,,,0.21,-0.1,0.1,1.00E-05,,,0.99,,,38.1,-3.2,4
GW231231_120147,GW231231_120147-v1,1388059326,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231231_120147-v1,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,4.5,,,0.86,,,,,
GW231230_170116,GW231230_170116-v1,1387990895,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231230_170116-v1,54,-15,50,35,-14,15,8.2,,,5700,-3200,4800,-0.19,-0.35,0.34,89,-20,49,36.9,-8.4,14.3,,,,0.87,-0.43,0.56,0.42,,,0.96,,,85,-19,47
GW231226_101520,GW231226_101520-v1,1387620938,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231226_101520-v1,40.1,-2.9,4.4,35,-4.9,3.2,34.7,,,1180,-350,240,-0.09,-0.1,0.09,74.8,-3,4.1,32.4,-1.4,1.8,,,,0.23,-0.06,0.04,1.00E-05,,,0.99,,,71.4,-2.8,3.8
GW231224_024321,GW231224_024321-v1,1387421020,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231224_024321-v1,9.3,-1.1,2.2,7.3,-1.3,1,14,,,950,-400,290,-0.01,-0.06,0.08,16.66,-0.78,1.29,7.13,-0.29,0.48,,,,0.19,-0.07,0.05,1.00E-05,,,0.99,,,15.89,-0.76,1.26
GW231223_202619,GW231223_202619-v1,1387398397,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_202619-v1,11.1,-1.6,3.8,8.3,-1.9,1.4,10,,,890,-440,490,0.1,-0.11,0.13,19.6,-1.5,2.2,8.36,-0.57,0.66,,,,0.18,-0.08,0.08,0.002,,,0.99,,,18.7,-1.5,2.2
GW231223_075055,GW231223_075055-v1,1387353073,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_075055-v1,11.9,-2.8,6.8,6.8,-2.1,2,9.4,,,970,-430,580,0.06,-0.12,0.22,19,-2,4.6,7.79,-0.59,0.58,,,,0.19,-0.08,0.1,0.55,,,0.98,,,18.1,-1.9,4.8
GW231223_032836,GW231223_032836-v1,1387337334,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231223_032836-v1,46,-11,16,31,-14,12,10.2,,,4200,-2100,3100,-0.15,-0.37,0.33,76,-13,18,31.8,-7,8.6,,,,0.67,-0.3,0.39,0.00038,,,0.99,,,73,-13,17
GW231221_135041,GW231221_135041-v1,1387201859,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231221_135041-v1,47,-13,21,28,-13,13,10,,,4600,-2500,3700,0.01,-0.38,0.36,76,-15,21,30.7,-6.8,9.5,,,,0.73,-0.36,0.45,0.54,,,0.96,,,72,-15,20
GW231220_173406,GW231220_173406-v1,1387128864,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231220_173406-v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,6.2,,,0.77,,,,,
GW231213_111417,GW231213_111417-v1,1386501276,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231213_111417-v1,35.5,-6.7,10.3,27.2,-7.5,8.1,10.4,,,4000,-2000,2300,0.06,-0.23,0.24,62.5,-9.3,14.3,26.7,-4.2,6.3,,,,0.65,-0.29,0.3,1.00E-05,,,0.99,,,59.5,-8.8,13.4
GW231206_233901,GW231206_233901-v1,1385941160,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_233901-v1,37.6,-4.6,6.6,28.4,-6,5.4,21.9,,,1490,-490,340,-0.05,-0.15,0.14,66,-3.7,5.3,28.1,-1.7,2.7,,,,0.28,-0.08,0.05,1.00E-05,,,0.99,,,63.1,-3.4,5
GW231206_233134,GW231206_233134-v1,1385940713,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_233134-v1,35.6,-6.3,9.1,28.1,-7.1,7.5,12.8,,,3200,-1800,1800,-0.09,-0.24,0.22,63.5,-8.8,13.4,27.2,-3.9,5.9,,,,0.54,-0.27,0.25,1.00E-05,,,0.99,,,60.6,-8.4,12.7
GW231206_010629,GW231206_010629-v1,1385860007,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231206_010629-v1,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,6.9,,,0.58,,,,,
GW231204_090648,GW231204_090648-v1,1385716027,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231204_090648-v1,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,3.6,,,0.54,,,,,
GW231129_081745,GW231129_081745-v1,1385281084,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231129_081745-v1,45,-13,15,23.8,-8.2,10,9.4,,,3800,-2100,3600,0.02,-0.26,0.27,69,-14,18,27.7,-5.7,7.7,,,,0.63,-0.31,0.45,0.056,,,0.99,,,66,-14,17
GW231127_165300,GW231127_165300-v1,1385139199,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231127_165300-v1,45,-12,18,29,-12,12,9.9,,,4500,-2500,3600,0.05,-0.32,0.3,74,-15,22,30.5,-6.7,9.5,,,,0.71,-0.35,0.44,0.01,,,0.99,,,71,-14,21
GW231126_010928,GW231126_010928-v1,1384996186,1,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231126_010928-v1,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,4.2,,,0.86,,,,,
GW231123_135430,GW231123_135430-v2,1384782889,2,GWTC-4.0,https://doi.org/10.7935/aes8-px89,https://gwosc.org/api/v2/event-versions/GW231123_135430-v2,137,-18,23,101,-51,22,21.8,,,2200,-1500,2000,0.31,-0.41,0.25,236,-48,29,101,-30,13,,,,0.39,-0.25,0.28,1.00E-05,,,0.99,,,222,-42,27
